DATE,TMAX F,TMAX C,TMIN F,TMIN C,TAVG F,TAVG C,,DATE,PRCP in,PRCP cm,SNOW in,SNOW cm
1958,51,10.55555556,28.3,-2.055555556,39.6,4.222222222,,1958,37.89,96.2406,122.5,311.15
1959,50.7,10.38888889,28.9,-1.722222222,39.8,4.333333333,,1959,39.41,100.1014,132.2,335.788
1960,50.6,10.33333333,29.3,-1.5,40,4.444444444,,1960,35.95,91.313,162.8,413.512
1961,52.3,11.27777778,29.8,-1.222222222,41.1,5.055555556,,1961,29.17,74.0918,127.3,323.342
1962,50,10,29.6,-1.333333333,39.8,4.333333333,,1962,31.03,78.8162,146,370.84
1963,52.1,11.16666667,29.4,-1.444444444,40.8,4.888888889,,1963,23.43,59.5122,117.4,298.196
1964,51.7,10.94444444,30.4,-0.888888889,41.1,5.055555556,,1964,33.94,86.2076,188.8,479.552
1965,48.8,9.333333333,28.1,-2.166666667,38.4,3.555555556,,1965,35.39,89.8906,163.6,415.544
1966,49.8,9.888888889,29.2,-1.555555556,39.5,4.166666667,,1966,31.64,80.3656,179.8,456.692
1967,48.9,9.388888889,28.1,-2.166666667,38.5,3.611111111,,1967,38.95,98.933,145.5,369.57
1968,50.7,10.38888889,29.8,-1.222222222,40.3,4.611111111,,1968,47.42,120.4468,148.6,377.444
1969,50.5,10.27777778,29.5,-1.388888889,40,4.444444444,,1969,29.41,74.7014,160.8,408.432
1970,51,10.55555556,29.2,-1.555555556,40.1,4.5,,1970,33.71,85.6234,102.9,261.366
1971,50.6,10.33333333,28.7,-1.833333333,39.7,4.277777778,,1971,35.37,89.8398,205.1,520.954
1972,48.7,9.277777778,27.1,-2.722222222,37.9,3.277777778,,1972,40.1,101.854,196.9,500.126
1973,52.2,11.22222222,31.9,-0.055555556,42.1,5.611111111,,1973,35.83,91.0082,123.9,314.706
1974,51,10.55555556,28.2,-2.111111111,39.6,4.222222222,,1974,30.46,77.3684,95.7,243.078
1975,52,11.11111111,30.4,-0.888888889,41.2,5.111111111,,1975,36.54,92.8116,182.6,463.804
1976,52.1,11.16666667,28.3,-2.055555556,40.2,4.555555556,,1976,21.06,53.4924,183.9,467.106
1977,52.2,11.22222222,30.7,-0.722222222,41.5,5.277777778,,1977,36.9,93.726,136.5,346.71
1978,50.8,10.44444444,29.2,-1.555555556,40,4.444444444,,1978,36.81,93.4974,149.1,378.714
1979,49.6,9.777777778,28.6,-1.888888889,39.1,3.944444444,,1979,39.61,100.6094,196.1,498.094
1981,53,11.66666667,31,-0.555555556,42,5.555555556,,1981,33.28,84.5312,116,294.64
1982,50.3,10.16666667,28.7,-1.833333333,39.5,4.166666667,,1982,39.13,99.3902,139,353.06
1983,51.3,10.72222222,32.4,0.222222222,41.8,5.444444444,,1983,40.41,102.6414,183.3,465.582
1984,51.7,10.94444444,31.2,-0.444444444,41.5,5.277777778,,1984,29.37,74.5998,116.1,294.894
1987,,,33.6,0.888888889,,,,1987,32.81,83.3374,108.1,274.574
1988,,,28.9,-1.722222222,,,,1989,24.68,62.6872,141.9,360.426
1989,51.2,10.66666667,27.7,-2.388888889,39.5,4.166666667,,1990,29.74,75.5396,,0
1991,53.8,12.11111111,30.5,-0.833333333,42.2,5.666666667,,1991,36.72,93.2688,133.3,338.582
1992,50.2,10.11111111,28.5,-1.944444444,39.3,4.055555556,,1992,31.2,79.248,157.2,399.288
1993,49,9.444444444,,,,,,1994,29.02,73.7108,100.9,256.286
1994,50.8,10.44444444,27.6,-2.444444444,39.2,4,,1995,36.51,92.7354,206.9,525.526
1995,50,10,29.5,-1.388888889,39.8,4.333333333,,2016,41.98,106.6292,177.6,451.104
2008,48.6,9.222222222,29.1,-1.611111111,38.8,3.777777778,,2017,44.07,111.9378,168.3,427.482
2009,48.6,9.222222222,29.7,-1.277777778,39.2,4,,2019,40.11,101.8794,203,515.62
2010,52.4,11.33333333,34,1.111111111,43.2,6.222222222,,2021,28.73,72.9742,133,337.82
2016,51.9,11.05555556,33.8,1,42.9,6.055555556,,2022,40.52,102.9208,210,533.4
2017,50.1,10.05555556,32.1,0.055555556,41.1,5.055555556,,2023,33.28,84.5312,131.3,333.502
2019,48.1,8.944444444,28.6,-1.888888889,38.4,3.555555556,,2024,31.54,80.1116,128.3,325.882
2021,52.6,11.44444444,30.4,-0.888888889,41.5,5.277777778,,2025,35.7,90.678,194.8,494.792
2022,48.7,9.277777778,28.2,-2.111111111,38.4,3.555555556,,,,,,
2023,52.2,11.22222222,,,,,,,,,,
2024,54.5,12.5,34.2,1.222222222,44.4,6.888888889,,,,,,
2025,50.8,10.44444444,31.2,-0.444444444,41,5,,,,,,
