DATE,TAVG C,TMAX C,TMIN C,,DATE,PRCP cm,SNOW cm
1949,9.944444444,15.5,4.388888889,,1949,98.425,65.024
1950,8.111111111,13.5,2.666666667,,1950,98.7806,128.016
1951,8.111111111,13.27777778,2.944444444,,1951,103.2002,176.276
1952,9.222222222,14.66666667,3.722222222,,1952,77.47,105.41
1953,10.16666667,15.83333333,4.444444444,,1953,70.3326,69.342
1954,9.222222222,14.61111111,3.888888889,,1954,103.8098,124.968
1955,9.666666667,15.44444444,3.888888889,,1955,75.0824,95.758
1956,9.555555556,14.72222222,4.444444444,,1956,62.7634,102.362
1957,9.388888889,14.33333333,4.444444444,,1957,88.4174,102.616
1958,8.777777778,13.88888889,3.722222222,,1958,55.5244,93.98
1959,9.722222222,14.83333333,4.666666667,,1959,92.964,109.728
1960,9,14.16666667,3.833333333,,1960,78.7146,131.318
1961,9.555555556,15.33333333,3.777777778,,1961,82.169,75.438
1962,8.222222222,14.05555556,2.444444444,,1962,74.041,134.112
1963,8.388888889,14.33333333,2.444444444,,1963,59.5122,98.044
1964,9.166666667,14.72222222,3.555555556,,1964,87.7824,115.824
1965,8.666666667,13.83333333,3.444444444,,1965,104.3686,170.688
1966,8.444444444,13.66666667,3.222222222,,1966,98.171,132.08
1967,8,13,3,,1967,108.712,193.802
1968,8.722222222,13.77777778,3.666666667,,1968,113.4618,138.938
1969,8.5,13.55555556,3.444444444,,1969,89.5096,123.444
1970,8.888888889,14.16666667,3.555555556,,1970,88.7984,152.4
1971,9.444444444,15.27777778,3.555555556,,1971,70.358,114.3
1972,8.111111111,13.44444444,2.777777778,,1972,90.1954,143.51
1973,10.05555556,15.22222222,4.888888889,,1973,94.6658,103.632
1974,9.111111111,14.66666667,3.611111111,,1974,79.629,129.286
1975,9.166666667,14.72222222,3.555555556,,1975,105.7402,146.05
1976,8.222222222,14.55555556,1.833333333,,1976,75.5904,87.884
1977,9.333333333,15.05555556,3.555555556,,1977,76.454,110.744
1978,8.333333333,14.05555556,2.611111111,,1978,91.4908,172.72
1979,8.555555556,13.72222222,3.333333333,,1979,89.0016,121.666
1980,8.555555556,13.66666667,3.5,,1980,97.9424,136.906
1981,9.055555556,14.44444444,3.722222222,,1981,84.6582,110.744
1982,8.944444444,14.55555556,3.277777778,,1982,93.6752,
1983,9.333333333,15.16666667,3.555555556,,1983,96.9518,147.32
1984,9.222222222,15,3.444444444,,1984,79.5782,102.616
1985,9.166666667,14.72222222,3.611111111,,1985,121.1834,203.454
1986,9.388888889,14.94444444,3.833333333,,1986,,150.368
1987,10.38888889,16.11111111,4.666666667,,1987,82.9056,124.46
1988,8.888888889,15.05555556,2.722222222,,1989,74.041,149.352
1989,7.944444444,13.83333333,2.055555556,,1990,108.3818,86.36
1990,9.555555556,15.33333333,3.777777778,,1991,105.918,106.426
1991,9.5,15.55555556,3.444444444,,1992,92.2274,139.954
1992,8.222222222,13.61111111,2.833333333,,1993,90.932,142.494
1993,8.055555556,13.55555556,2.555555556,,1994,87.1474,120.65
1994,9,14.72222222,3.277777778,,1995,70.9676,136.144
1995,,14.38888889,,,1996,71.0184,125.73
1996,,13.66666667,,,1997,80.8228,157.734
1997,8.055555556,13.77777778,2.277777778,,1998,83.185,51.816
1998,11.11111111,16.83333333,5.333333333,,2006,82.3722,96.52
2006,10.55555556,15.88888889,5.277777778,,2007,70.6374,252.476
2007,,15.88888889,,,2008,91.6178,297.18
2014,7.611111111,13.61111111,1.611111111,,2009,47.6758,238.506
2015,9.388888889,15.5,3.333333333,,2010,60.7568,152.146
2016,10.72222222,16.5,4.944444444,,2014,88.1888,262.382
2017,10,16.11111111,3.888888889,,2015,107.3912,159.004
2018,,15.05555556,,,2016,94.9452,230.378
2019,9.5,15,4.055555556,,2017,108.331,150.622
2020,10.33333333,15.88888889,4.777777778,,2018,97.2058,194.056
2021,10.83333333,16.27777778,5.333333333,,2019,115.6208,172.974
2022,9.777777778,15.38888889,4.222222222,,2020,98.8568,119.888
2023,10.83333333,16.27777778,5.388888889,,2021,104.0384,147.32
2024,11.44444444,17.11111111,5.833333333,,2022,89.027,221.996
2025,9.222222222,14.55555556,3.888888889,,2023,99.0346,136.652
,,,,,2024,98.5774,139.446
,,,,,2025,114.5032,245.872
